,종목명,기간 수익률,,,기간 내 최고수익률,검색시점 거래량,기타
,한국정밀기계,"","","","0%","858,486",""
,NHN벅스,"","","","0%","578,779",""
,엣지파운드리,"","","","0%","1,612,197",""
,로보티즈,"","","","0%","939,485",""
,옵티시스,"","","","0%","891,897",""
,알파칩스,"","","","0%","88,552",""
,티로보틱스,"","","","0%","2,079,760",""
,알톤,"","","","+6.07%","191,624",""
,한라캐스트,"","","","0%","5,534,432",""
,제이에스링크,"","","","+8.99%","107,593",""
,티피씨글로벌,"","","","0%","674,143",""
,다이나믹디자인,"","","","0%","2,391,281",""
,하이젠알앤엠,"","","","+0.51%","462,423",""
,앱클론,"","","","+3.23%","598,297",""
,신화콘텍,"","","","0%","4,377,015",""
,해성디에스,"","","","0%","492,169",""
,유니온바이오메트릭스,"","","","0%","271,247",""
,포톤,"","","","0%","1,018,779",""
,싸이토젠,"","","","+14.83%","1,686,246",""
,티엠씨,"","","","0%","2,136,899",""
,심텍,"","","","0%","1,831,482",""
,라온테크,"","","","+0.86%","1,561,909",""
,이스트에이드,"","","","+29.76%","402,563",""
,브이원텍,"","","","+7.26%","536,131",""
,이랜시스,"","","","0%","8,479,948",""
,영화테크,"","","","0%","4,026,390",""
,에브리봇,"","","","0%","1,242,528",""
,한화시스템,"","","","0%","6,896,728",""
,레인보우로보틱스,"","","","0%","1,114,805",""
,티에스아이,"","","","0%","321,305",""
,코윈테크,"","","","0%","3,087,299",""
,압타머사이언스,"","","","+11.58%","5,133,821",""
,레몬,"","","","0%","314,177",""
,효성티앤씨,"","","","+8.47%","92,410",""
,컴퍼니케이,"","","","0%","1,498,773",""
,셀비온,"","","","+1.76%","106,643",""
,아이티켐,"","","","+3.24%","198,933",""
,지놈앤컴퍼니,"","","","+7.86%","776,020",""
,TS트릴리온,"","","","+23.96%","15,583,602",""
,현대무벡스,"","","","+3.76%","10,909,690",""
,센서뷰,"","","","0%","11,301,466",""
,윙스풋,"","","","0%","3,005,269",""
,엠투아이,"","","","0%","604,133",""
,이삭엔지니어링,"","","","0%","1,867,163",""
,대덕전자,"","","","+2.37%","2,993,197",""
,대덕전자1우,"","","","+1.95%","40,022",""
,알멕,"","","","+1.97%","470,639",""
,아모센스,"","","","+3.23%","70,271",""
,진시스템,"","","","0%","652,637",""
,하이딥,"","","","0%","1,373,053",""
,퓨런티어,"","","","0%","313,699",""
,옵티코어,"","","","+20.47%","2,762,906",""
,제닉스로보틱스,"","","","0%","2,522,869",""
,코닉오토메이션,"","","","0%","1,825,767",""
,씨피시스템,"","","","0%","13,170,153",""
,엔젯,"","","","0%","1,498,332",""
,케이쓰리아이,"","","","0%","1,030,950",""
,케이엔에스,"","","","+0.51%","3,952,483",""
,버넥트,"","","","0%","6,624,839",""
,한국피아이엠,"","","","0%","1,692,759",""
,컨텍,"","","","0%","1,324,510",""
,한화갤러리아,"","","","+6.18%","64,435,259",""
,한화갤러리아우,"","","","+29.90%","502,691",""
,케이지에이,"","","","0%","782,126",""
,엔젤로보틱스,"","","","0%","3,005,549",""
,지투지바이오,"","","","+6.43%","909,433",""
,씨어스테크놀로지,"","","","0%","175,196",""
,나우로보틱스,"","","","0%","4,552,158",""
,피앤에스로보틱스,"","","","0%","1,506,307",""
,에스오에스랩,"","","","+0.23%","7,114,777",""
,RISE AI&로봇,"","","","+0.32%","3,389,622",""
,ACE 포스코그룹포커스,"","","","0%","4,499,423",""
,이노테크,"","","","0%","247,948",""
,노머스,"","","","0%","395,796",""
,씨메스,"","","","0%","500,157",""
,티엑스알로보틱스,"","","","0%","2,933,354",""
,JTC,"","","","+2.68%","341,279",""
,신한 인버스2X 천연가,"","","","+2.87%","11,070",""
,미래에셋 레버리지 미,"","","","0%","1,547",""
,미래에셋 -1.5X 천연,"","","","+2.64%","12,041",""
,삼성 인버스 2X 천연,"","","","+3.61%","143,690",""
,삼성 iSelect 레버리,"","","","0%","28,987",""
,N2 월간 레버리지 방,"","","","0%","1,070",""
,N2 인버스 2X 천연가,"","","","+3.34%","1,818",""
,한투 인버스 2X 플래,"","","","0%","160,633",""
,한투 인버스 2X 구리,"","","","+1.09%","188",""
,한투 인버스2X천연가,"","","","+3.52%","54,912",""
,KB 인버스 2X 천연가,"","","","+3.75%","32,021",""
,메리츠 -2X 천연가스,"","","","+3.11%","4,746",""
,하나 인버스 2X 천연,"","","","+3.26%","2,079",""
,하나 레버리지 K방산T,"","","","0%","12,592",""
,키움 레버리지 조선TO,"","","","0%","2,016",""
